tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen,lcrp_pathogen,divergent_pathogen
2795259,2,2795259,Imasa,"",eukaryota,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,98.0,49.0,10^-22.7645,,,,,[2772037],0,0,0
2772037,1,2795259,Imasa heleensis,"",eukaryota,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,98.0,49.0,10^-22.7645,,,,,,0,0,0
2782231,2,2782231,Kaistella,"",bacteria,false,,,,0.02000066428872991,3,,,98.658,149.0,10^-86.4034,,,,,,,,,,,,,,,,,[421525],0,0,0
421525,1,2782231,Chryseobacterium haifense,"",bacteria,false,,,,0.02000066428872991,3,,,98.658,149.0,10^-86.4034,,,,,,,,,,,,,,,,,,0,0,0
2782229,2,2782229,Epilithonimonas,"",bacteria,false,,,,0.013333776192486607,2,,,95.0,150.0,10^-79.5386,,,,,,,,,,,,,,,,,"[2487072, 1241981]",0,0,0
2487072,1,2782229,Epilithonimonas vandammei,"",bacteria,false,,,,0.006666888096243303,1,,,93.333,150.0,10^-76.1077,,,,,,,,,,,,,,,,,,0,0,0
1241981,1,2782229,Chryseobacterium lactis,"",bacteria,false,,,,0.006666888096243303,1,,,96.667,150.0,10^-82.9695,,,,,,,,,,,,,,,,,,0,0,0
2782228,2,2782228,Planobacterium,"",bacteria,false,,,,0.013333776192486607,2,,,94.9495,133.5,10^-68.2701,,,,,,,,,,,,,,,,,[536441],0,0,0
536441,1,2782228,Chryseobacterium taklimakanense,"",bacteria,false,,,,0.013333776192486607,2,,,94.9495,133.5,10^-68.2701,,,,,,,,,,,,,,,,,,0,0,0
2781897,2,2781897,Lichenicoccus,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,67.4,43.0,10^-7.27572,,,,,[2683649],0,0,0
2683649,1,2781897,Lichenicoccus roseus,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,67.4,43.0,10^-7.27572,,,,,,0,0,0
2779937,2,2779937,Podila,"",eukaryota,false,,,,,,,,,,,,,,,,0.14667153811735267,22,1,10,60.8289,90.6818,10^-33.64,,,,,"[979699, 979688, 311239, 78898, 64525, 64523]",0,0,0
979699,1,2779937,Podila epigama,"",eukaryota,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,62.5,48.0,10^-9.53313,,,,,,0,0,0
979688,1,2779937,Podila clonocystis,"",eukaryota,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,56.1,41.0,10^-4.62893,,,,,,0,0,0
311239,1,2779937,Podila horticola,"",eukaryota,false,,,,,,,,,,,,,,,,0.08666954525116294,13,1,10,63.6655,120.846,10^-51.2871,,,,,,0,0,0
78898,1,2779937,Podila verticillata,"",eukaryota,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,62.4,47.5,10^-10.2421,,,,,,0,0,0
64525,1,2779937,Podila minutissima,"",eukaryota,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,59.0,39.0,10^-6.51428,,,,,,0,0,0
64523,1,2779937,Podila humilis,"",eukaryota,false,,,,,,,,,,,,,,,,0.026667552384973214,4,,,52.046,50.25,10^-8.04665,,,,,,0,0,0
2779868,2,2779868,Gamsiella,"",eukaryota,false,,,,,,,,,,,,,,,,0.10000332144364955,15,1,12,58.3003,79.3333,10^-27.9974,,,,,[101098],0,0,0
101098,1,2779868,Gamsiella multidivaricata,"",eukaryota,false,,,,,,,,,,,,,,,,0.10000332144364955,15,1,12,58.3003,79.3333,10^-27.9974,,,,,,0,0,0
2779867,2,2779867,Actinomortierella,"",eukaryota,false,,,,,,,,,,,,,,,,0.04000132857745982,6,,,62.7,44.1667,10^-9.02046,,,,,"[1343610, 90253]",0,0,0
1343610,1,2779867,Actinomortierella ambigua,"",eukaryota,false,,,,,,,,,,,,,,,,0.03333444048121652,5,,,67.16,43.6,10^-9.95344,,,,,,0,0,0
90253,1,2779867,Actinomortierella wolfii,"",eukaryota,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,40.4,47.0,10^-4.35556,,,,,,0,0,0
2779861,2,2779861,Linnemannia,"",eukaryota,false,,,,,,,,,,,,,,,,0.05333510476994643,8,1,6,61.2647,55.0,10^-15.9295,,,,,"[310910, 64522]",0,0,0
310910,1,2779861,Linnemannia elongata,"",eukaryota,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,73.45,49.0,10^-15.1492,,,,,,0,0,0
64522,1,2779861,Linnemannia gamsii,"",eukaryota,false,,,,,,,,,,,,,,,,0.04000132857745982,6,1,6,55.172,58.0,10^-16.3197,,,,,,0,0,0
2779860,2,2779860,Gryganskiella,"",eukaryota,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,63.45,53.5,10^-10.6595,,,,,[979690],0,0,0
979690,1,2779860,Gryganskiella cystojenkinii,"",eukaryota,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,63.45,53.5,10^-10.6595,,,,,,0,0,0
2779859,2,2779859,Entomortierella,"",eukaryota,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,80.5,39.0,10^-12.767,,,,,[979673],0,0,0
979673,1,2779859,Entomortierella beljakovae,"",eukaryota,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,80.5,39.0,10^-12.767,,,,,,0,0,0
2767888,2,2767888,Liquorilactobacillus,"",bacteria,false,,,,0.02000066428872991,3,,,90.909,132.0,10^-61.0671,,,,,,,,,,,,,,,,,[468911],0,0,0
468911,1,2767888,Lactobacillus hordei,"",bacteria,false,,,,0.02000066428872991,3,,,90.909,132.0,10^-61.0671,,,,,,,,,,,,,,,,,,0,0,0
2767885,2,2767885,Latilactobacillus,"",bacteria,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,63.35,50.5,10^-10.0621,,,,,[1599],0,0,0
1599,1,2767885,Latilactobacillus sakei,"",bacteria,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,63.35,50.5,10^-10.0621,,,,,,0,0,0
2767881,2,2767881,Fructilactobacillus,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,95.9,49.0,10^-23.9318,,,,,[1625],0,0,0
1625,1,2767881,Fructilactobacillus sanfranciscensis,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,95.9,49.0,10^-23.9318,,,,,,0,0,0
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,,,,0.006666888096243303,1,,,93.333,105.0,10^-49.5013,,,,,,0.2600086357534888,39,1,35,89.2171,34.8462,10^-15.6501,,,,,[1590],0,0,0
1590,1,2767842,Lactiplantibacillus plantarum,"",bacteria,false,,,,0.006666888096243303,1,,,93.333,105.0,10^-49.5013,,,,,,0.2600086357534888,39,1,35,89.2171,34.8462,10^-15.6501,,,,,,0,0,0
2767358,2,2767358,Mycoplasmopsis,"",bacteria,false,,,,0.006666888096243303,1,,,89.552,67.0,10^-23.6214,,,,,,,,,,,,,,,,,[33923],0,0,0
33923,1,2767358,Mycoplasma felis,"",bacteria,false,,,,0.006666888096243303,1,,,89.552,67.0,10^-23.6214,,,,,,,,,,,,,,,,,,0,0,0
2766927,2,2766927,Persicimonas,"",bacteria,false,,,,,,,,,,,,,,,,0.03333444048121652,5,1,5,46.429,112.0,10^-25.2676,,,,,[2292766],0,0,0
2292766,1,2766927,Persicimonas caeni,"",bacteria,false,,,,,,,,,,,,,,,,0.03333444048121652,5,1,5,46.429,112.0,10^-25.2676,,,,,,0,0,0
2759736,2,2759736,Lacticaseibacillus,"",bacteria,false,,,,,,,,,,,,,,,,0.7466914667792499,112,,,91.4292,38.5208,10^-16.1234,,,,,[47715],0,0,0
47715,1,2759736,Lacticaseibacillus rhamnosus,"",bacteria,false,,,,,,,,,,,,,,,,0.7466914667792499,112,,,91.4292,38.5208,10^-16.1234,,,,,,0,0,0
2759657,2,2759657,Cyanidiococcus,"",eukaryota,false,,,,,,,,,,,,,,,,0.14000465002110937,21,1,20,62.5064,127.316,10^-58.2767,,,,,[2690220],0,0,0
2690220,1,2759657,Cyanidiococcus yangmingshanensis,"",eukaryota,false,,,,,,,,,,,,,,,,0.14000465002110937,21,1,20,62.5064,127.316,10^-58.2767,,,,,,0,0,0
2751156,2,2751156,Ningiella,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,45.8,48.0,10^-3.38091,,,,,[2364274],0,0,0
2364274,1,2751156,Ningiella ruwaisensis,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,45.8,48.0,10^-3.38091,,,,,,0,0,0
2749846,2,2749846,Amedibacillus,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,53.8,39.0,10^-3.06248,,,,,[31971],0,0,0
31971,1,2749846,Amedibacillus dolichus,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,53.8,39.0,10^-3.06248,,,,,,0,0,0
2747271,2,2747271,Calidithermus,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,86.0,50.0,10^-22.6003,,,,,[52023],0,0,0
52023,1,2747271,Calidithermus chliarophilus,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,86.0,50.0,10^-22.6003,,,,,,0,0,0
2743582,2,2743582,Peptacetobacter,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,100.0,49.0,10^-25.3737,,,,,[89152],0,0,0
89152,1,2743582,Peptacetobacter hiranonis,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,100.0,49.0,10^-25.3737,,,,,,0,0,0
2742598,2,2742598,Limosilactobacillus,"",bacteria,false,,,,,,,,,,,,,,,,0.05333510476994643,8,,,73.82,43.0,10^-12.9129,,,,,"[1613, 1598]",0,0,0
1613,1,2742598,Limosilactobacillus fermentum,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,66.7,42.0,10^-7.70997,,,,,,0,0,0
1598,1,2742598,Limosilactobacillus reuteri,"",bacteria,false,,,,,,,,,,,,,,,,0.04000132857745982,6,,,78.5667,43.6667,10^-16.3815,,,,,,0,0,0
2719313,2,2719313,Enterocloster,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,95.8,48.0,10^-23.466,,,,,[208479],0,0,0
208479,1,2719313,Enterocloster bolteae,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,95.8,48.0,10^-23.466,,,,,,0,0,0
2719231,2,2719231,Lacrimispora,"",bacteria,false,,,,0.006666888096243303,1,,,86.486,74.0,10^-24.2644,,,,,,,,,,,,,,,,,[29370],0,0,0
29370,1,2719231,Lacrimispora sphenoides,"",bacteria,false,,,,0.006666888096243303,1,,,86.486,74.0,10^-24.2644,,,,,,,,,,,,,,,,,,0,0,0
2712688,2,2712688,Salaquimonas,"",bacteria,false,,,,0.013333776192486607,2,,,97.222,36.0,10^-10.8537,,,,,,,,,,,,,,,,,[2712698],0,0,0
2712698,1,2712688,Salaquimonas pukyongi,"",bacteria,false,,,,0.013333776192486607,2,,,97.222,36.0,10^-10.8537,,,,,,,,,,,,,,,,,,0,0,0
2710873,2,2710873,Botryobacter,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,83.871,62.0,10^-32.4634,,,,,[2171629],0,0,0
2171629,1,2710873,Botryobacter ruber,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,83.871,62.0,10^-32.4634,,,,,,0,0,0
2705399,2,2705399,Hypericibacter,"",bacteria,false,,,,0.026667552384973214,4,,,92.1072,149.0,10^-73.0228,,,,,,,,,,,,,,,,,"[2602016, 2602015]",0,0,0
2602016,1,2705399,Hypericibacter adhaerens,"",bacteria,false,,,,0.006666888096243303,1,,,91.096,146.0,10^-69.2575,,,,,,,,,,,,,,,,,,0,0,0
2602015,1,2705399,Hypericibacter terrae,"",bacteria,false,,,,0.02000066428872991,3,,,92.4443,150.0,10^-74.2778,,,,,,,,,,,,,,,,,,0,0,0
2703944,2,2703944,Pararcticibacter,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,83.7,43.0,10^-15.8729,,,,,[699437],0,0,0
699437,1,2703944,Pararcticibacter tournemirensis,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,83.7,43.0,10^-15.8729,,,,,,0,0,0
2692118,2,2692118,Winkia,"",bacteria,false,,,,0.006666888096243303,1,,,96.396,111.0,10^-56.3391,,,,,,,,,,,,,,,,,[2692125],0,0,0
2692125,1,2692118,Winkia sp. C64,"",bacteria,false,,,,0.006666888096243303,1,,,96.396,111.0,10^-56.3391,,,,,,,,,,,,,,,,,,0,0,0
2689590,2,2689590,Stagnimonas,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,100.0,49.0,10^-22.4485,,,,,[2689987],0,0,0
2689987,1,2689590,Stagnimonas aquatica,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,100.0,49.0,10^-22.4485,,,,,,0,0,0
2683599,2,2683599,Paraoceanicella,"",bacteria,false,,,,0.013333776192486607,2,,,91.791,134.0,10^-63.8053,,,,,,,,,,,,,,,,,[2579971],0,0,0
2579971,1,2683599,Paraoceanicella profunda,"",bacteria,false,,,,0.013333776192486607,2,,,91.791,134.0,10^-63.8053,,,,,,,,,,,,,,,,,,0,0,0
2682476,2,2682476,Chryseotalea,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,83.7,49.0,10^-17.7878,,,,,[2482724],0,0,0
2482724,1,2682476,Chryseotalea sanaruensis,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,83.7,49.0,10^-17.7878,,,,,,0,0,0
2678886,2,2678886,Pulveribacter,"",bacteria,false,,,,0.006666888096243303,1,,,93.333,150.0,10^-76.1077,,,,,,0.006666888096243303,1,,,100.0,49.0,10^-26.6737,,,,,[2116657],0,0,0
2116657,1,2678886,Pulveribacter suum,"",bacteria,false,,,,0.006666888096243303,1,,,93.333,150.0,10^-76.1077,,,,,,0.006666888096243303,1,,,100.0,49.0,10^-26.6737,,,,,,0,0,0
2678343,2,2678343,Halalkaliarchaeum,"",archaea,false,,,,0.006666888096243303,1,,,93.651,63.0,10^-25.0205,,,,,,,,,,,,,,,,,[2055893],0,0,0
2055893,1,2678343,Halalkaliarchaeum desulfuricum,"",archaea,false,,,,0.006666888096243303,1,,,93.651,63.0,10^-25.0205,,,,,,,,,,,,,,,,,,0,0,0
2676790,2,2676790,Acidimangrovimonas,"",bacteria,false,,,,,,,,,,,,,,,,0.12667087382862277,19,,,79.8533,38.1333,10^-11.3775,,,,,[765699],0,0,0
765699,1,2676790,Acidimangrovimonas indica,"",bacteria,false,,,,,,,,,,,,,,,,0.12667087382862277,19,,,79.8533,38.1333,10^-11.3775,,,,,,0,0,0
2676252,2,2676252,Alginatibacterium,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,54.2,48.0,10^-5.72584,,,,,[2164068],0,0,0
2164068,1,2676252,Alginatibacterium sediminis,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,54.2,48.0,10^-5.72584,,,,,,0,0,0
2676233,2,2676233,Sphingosinithalassobacter,"",bacteria,false,,,,0.013333776192486607,2,,,81.935,155.0,10^-54.8217,,,,,,,,,,,,,,,,,[2762748],0,0,0
2762748,1,2676233,Sphingosinithalassobacter sp. CS137,"",bacteria,false,,,,0.013333776192486607,2,,,81.935,155.0,10^-54.8217,,,,,,,,,,,,,,,,,,0,0,0
2676060,2,2676060,Allopseudarcicella,"",bacteria,false,,,,1.2200405216125245,183,2,168,87.4094,1432.46,10^-275.773,,,,,,0.006666888096243303,1,,,100.0,22.0,10^-4.13136,,,,,[998844],0,0,0
998844,1,2676060,Allopseudarcicella aquatilis,"",bacteria,false,,,,1.2200405216125245,183,2,168,87.4094,1432.46,10^-275.773,,,,,,0.006666888096243303,1,,,100.0,22.0,10^-4.13136,,,,,,0,0,0
2675234,2,2675234,Alkalihalobacillus,"",bacteria,false,,,,,,,,,,,,,,,,0.026667552384973214,4,,,41.066,60.3333,10^-10.4121,,,,,"[519424, 208199]",0,0,0
519424,1,2675234,Alkalihalobacillus trypoxylicola,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,40.299,67.0,10^-13.3028,,,,,,0,0,0
208199,1,2675234,Alkalihalobacillus hwajinpoensis,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,42.6,47.0,10^-4.63078,,,,,,0,0,0
2675231,2,2675231,Mesobacillus,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,46.9,49.0,10^-4.26446,,,,,[129985],0,0,0
129985,1,2675231,Mesobacillus jeotgali,"",bacteria,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,46.9,49.0,10^-4.26446,,,,,,0,0,0
2675229,2,2675229,Peribacillus,"",bacteria,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,55.2,48.0,10^-3.81594,,,,,[1478],0,0,0
1478,1,2675229,Peribacillus simplex,"",bacteria,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,55.2,48.0,10^-3.81594,,,,,,0,0,0
2664683,2,2664683,Dimorphilus,"",eukaryota,false,,,,,,,,,,,,,,,,1.3067100668636875,196,1,194,63.499,143.745,10^-54.3675,,,,,[2664684],0,0,0
2664684,1,2664683,Dimorphilus gyrociliatus,"",eukaryota,false,,,,,,,,,,,,,,,,1.3067100668636875,196,1,194,63.499,143.745,10^-54.3675,,,,,,0,0,0
2661779,2,2661779,Sapientia,"",bacteria,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,63.2,38.0,10^-5.54061,,,,,[1549640],0,0,0
1549640,1,2661779,Sapientia aquatica,"",bacteria,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,63.2,38.0,10^-5.54061,,,,,,0,0,0
2609811,2,2609811,Thermothielavioides,"",eukaryota,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,72.5,27.0,10^-4.09822,,,,,[2587410],0,0,0
2587410,1,2609811,Thermothielavioides terrestris,"",eukaryota,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,72.5,27.0,10^-4.09822,,,,,,0,0,0
2603342,2,2603342,Cafileria,"",eukaryota,false,,,,0.026667552384973214,4,,,84.1717,115.667,10^-41.227,,,,,,0.006666888096243303,1,,,93.5,31.0,10^-6.96658,,,,,[2557541],0,0,0
2557541,1,2603342,Cafileria marina,"",eukaryota,false,,,,0.026667552384973214,4,,,84.1717,115.667,10^-41.227,,,,,,0.006666888096243303,1,,,93.5,31.0,10^-6.96658,,,,,,0,0,0
2600304,2,2600304,Baekduia,"",bacteria,false,,,,0.04666821667370312,7,,,88.2107,73.1667,10^-23.0419,,,,,,,,,,,,,,,,,[496014],0,0,0
496014,1,2600304,Baekduia soli,"",bacteria,false,,,,0.04666821667370312,7,,,88.2107,73.1667,10^-23.0419,,,,,,,,,,,,,,,,,,0,0,0
2582840,2,2582840,Desulfocurvibacter,"",bacteria,false,,,,0.7133570262980334,107,2,107,80.7303,442.105,10^-87.5371,,,,,,,,,,,,,,,,,[873],0,0,0
873,1,2582840,Desulfocurvibacter africanus,"",bacteria,false,,,,0.7133570262980334,107,2,107,80.7303,442.105,10^-87.5371,,,,,,,,,,,,,,,,,,0,0,0
2576890,2,2576890,Nibricoccus,"",bacteria,false,,,,0.013333776192486607,2,,,94.626,149.0,10^-78.1691,,,,,,,,,,,,,,,,,[2576891],0,0,0
2576891,1,2576890,Nibricoccus aquaticus,"",bacteria,false,,,,0.013333776192486607,2,,,94.626,149.0,10^-78.1691,,,,,,,,,,,,,,,,,,0,0,0
2571230,2,2571230,Allobodo,"",eukaryota,false,,,,0.006666888096243303,1,,,96.842,95.0,10^-48.1724,,,,,,,,,,,,,,,,,[2282701],0,0,0
2282701,1,2571230,Allobodo chlorophagus,"",eukaryota,false,,,,0.006666888096243303,1,,,96.842,95.0,10^-48.1724,,,,,,,,,,,,,,,,,,0,0,0
2571159,2,2571159,Mycetohabitans,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,100.0,49.0,10^-24.3969,,,,,[412963],0,0,0
412963,1,2571159,Mycetohabitans rhizoxinica,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,100.0,49.0,10^-24.3969,,,,,,0,0,0
2560082,2,2560082,Actinovirus,"",viruses,false,,,,,,,,,,,,,,,,128.39093095745352,19258,2,19258,30.9338,1346.09,10^-177.717,,,,,"[2560779, 2560342]",0,0,2
2560779,1,2560082,Spikefish actinovirus,"",viruses,false,,,,,,,,,,,,,,,,43.74811968754855,6562,1,6562,35.704,2109.0,10^-307.653,,,,,,0,0,1
2560342,1,2560082,Batfish actinovirus,"",viruses,false,,,,,,,,,,,,,,,,84.64281126990498,12696,1,12696,28.451,949.0,10^-110.087,,,,,,0,0,1
2547964,2,2547964,Parashewanella,"",bacteria,false,,,,,,,,,,,,,,,,0.06000199286618973,9,,,76.0,50.0,10^-16.0486,,,,,"[2338552, 342950]",0,0,0
2338552,1,2547964,Parashewanella curva,"",bacteria,false,,,,,,,,,,,,,,,,0.04000132857745982,6,,,65.0,50.0,10^-11.4211,,,,,,0,0,0
342950,1,2547964,Parashewanella spongiae,"",bacteria,false,,,,,,,,,,,,,,,,0.02000066428872991,3,,,98.0,50.0,10^-25.3036,,,,,,0,0,0
2545269,2,2545269,Verrucomonas,"",eukaryota,false,,,,0.006666888096243303,1,,,92.784,97.0,10^-44.0463,,,,,,,,,,,,,,,,,[629763],0,0,0
629763,1,2545269,Verrucomonas bifida,"",eukaryota,false,,,,0.006666888096243303,1,,,92.784,97.0,10^-44.0463,,,,,,,,,,,,,,,,,,0,0,0
2530473,2,2530473,Seuratia,"",eukaryota,false,,,,0.013333776192486607,2,,,98.3335,150.0,10^-86.4004,,,,,,,,,,,,,,,,,[2530474],0,0,0
2530474,1,2530473,Seuratia cf. millardetii,"",eukaryota,false,,,,0.013333776192486607,2,,,98.3335,150.0,10^-86.4004,,,,,,,,,,,,,,,,,,0,0,0
2529408,2,2529408,Schaalia,"",bacteria,false,,,,0.006666888096243303,1,,,86.667,150.0,10^-62.384,,,,,,,,,,,,,,,,,[131110],0,0,0
131110,1,2529408,Schaalia radingae,"",bacteria,false,,,,0.006666888096243303,1,,,86.667,150.0,10^-62.384,,,,,,,,,,,,,,,,,,0,0,0
2511164,2,2511164,Microchloropsis,"",eukaryota,false,,,,,,,,,,,,,,,,0.2066735309835424,31,2,19,63.8382,76.5263,10^-23.6199,,,,,[2511165],0,0,0
2511165,1,2511164,Microchloropsis salina,"",eukaryota,false,,,,,,,,,,,,,,,,0.2066735309835424,31,2,19,63.8382,76.5263,10^-23.6199,,,,,,0,0,0
2510776,2,2510776,Agarophyton,"",eukaryota,false,,,,0.013333776192486607,2,,,94.286,70.0,10^-29.7781,,,,,,,,,,,,,,,,,[2510778],0,0,0
2510778,1,2510776,Agarophyton tenuistipitatum,"",eukaryota,false,,,,0.013333776192486607,2,,,94.286,70.0,10^-29.7781,,,,,,,,,,,,,,,,,,0,0,0
2507049,2,2507049,Neoschoengastia,"",eukaryota,false,,,,0.013333776192486607,2,,,77.8825,76.5,10^-14.9867,,,,,,,,,,,,,,,,,[2507050],0,0,0
2507050,1,2507049,Neoschoengastia gallinarum,"",eukaryota,false,,,,0.013333776192486607,2,,,77.8825,76.5,10^-14.9867,,,,,,,,,,,,,,,,,,0,0,0
2490452,2,2490452,Serpentinomonas,"",bacteria,false,,,,0.03333444048121652,5,,,92.9245,117.25,10^-56.1577,,,,,,0.7533583548754933,113,,,97.8176,46.2353,10^-24.1588,,,,,"[1458426, 1458425]",0,0,0
1458426,1,2490452,Serpentinomonas mccroryi,"",bacteria,false,,,,0.026667552384973214,4,,,91.9647,108.667,10^-49.2721,,,,,,,,,,,,,,,,,,0,0,0
1458425,1,2490452,Serpentinomonas raichei,"",bacteria,false,,,,0.006666888096243303,1,,,95.804,143.0,10^-76.8146,,,,,,0.7533583548754933,113,,,97.8176,46.2353,10^-24.1588,,,,,,0,0,0
2478349,2,2478349,Indioceanicola,"",bacteria,false,,,,0.006666888096243303,1,,,88.321,137.0,10^-58.9924,,,,,,,,,,,,,,,,,[2220096],0,0,0
2220096,1,2478349,Indioceanicola profundi,"",bacteria,false,,,,0.006666888096243303,1,,,88.321,137.0,10^-58.9924,,,,,,,,,,,,,,,,,,0,0,0
2316020,2,2316020,Mediterraneibacter,"",bacteria,false,,,,,,,,,,,,,,,,0.03333444048121652,5,,,78.48,47.4,10^-16.7266,,,,,[33039],0,0,0
33039,1,2316020,[Ruminococcus] torques,"",bacteria,false,,,,,,,,,,,,,,,,0.03333444048121652,5,,,78.48,47.4,10^-16.7266,,,,,,0,0,0
2315349,2,2315349,Margalefidinium,"",eukaryota,false,,,,0.006666888096243303,1,,,100.0,37.0,10^-12.9003,,,,,,,,,,,,,,,,,[418113],0,0,0
